MARKER_ID,SHOP_NAME,SHOP_ADDRESS,LATITUDE,LONGITUDE,OPEN_DATE
VNVC,VNVC EA TAM,"298 LÊ DUẨN, P.BUÔN MA THUỘT, ĐẮK LẮK",12.6606522,108.0312572,2026-04-20
VNVC,VNVC NGUYỄN VĂN LƯỢNG,"162 NGUYỄN VĂN LƯỢNG, P.GÒ VẤP, TPHCM",10.8386785,106.677141,2026-03-30
VNVC,VNVC CỦ CHI 3,"37 TỈNH LỘ 2, ẤP ĐÌNH A, X.CỦ CHI, TP.HCM",10.938658,106.5464738,2026-03-28
VNVC,VNVC BÌNH HÒA,"084A QUỐC LỘ 13, KHU PHỐ ĐÔNG BA, P.BÌNH HÒA, TP.HCM",10.8975558,106.7092745,2026-03-24
VNVC,VNVC BUÔN HỒ,"201 TRẦN HƯNG ĐẠO, P.BUÔN HỒ, ĐẮK LẮK",12.9219187,108.2717562,2026-02-26
VNVC,VNVC GÒ CÔNG 2,"SỐ 163 ĐƯỜNG TRẦN CÔNG TƯỜNG, KHU PHỐ 12A, PHƯỜNG GÒ CÔNG, TỈNH ĐỒNG THÁP (CÁCH TRƯỜNG THPT GÒ CÔNG 150M VỀ HƯỚNG BỆNH VIỆN ĐA KHOA KHU VỰC GÒ CÔNG)",10.3532454,106.6811922,2026-02-12
VNVC,VNVC KRÔNG PẮC,"KM 28, QL.26, X.KRÔNG PẮC, ĐẮK LẮK",12.7149739,108.2831484,2026-02-06
VNVC,VNVC CHƠN THÀNH,"PHẠM HỒNG THÁI, TỔ 6, KHU PHỐ 3, P.CHƠN THÀNH, ĐỒNG NAI",11.4268113,106.6143502,2026-01-24
VNVC,VNVC DƯƠNG MINH CHÂU,"ĐƯỜNG DT781, TỔ 8, ẤP TÂN ĐỊNH, X.DƯƠNG MINH CHÂU, TÂY NINH",11.3734277,106.215547,2026-01-07
VNVC,VNVC ĐẠI PHƯỚC,"A20 LÝ THÁI TỔ, TỔ 1, ẤP BẾN CỘ, X.ĐẠI PHƯỚC, ĐỒNG NAI",10.7410453,106.8097473,2025-12-22
VNVC,VNVC BẾN THỦY,"174 NGUYỄN DU, PHƯỜNG TRƯỜNG VINH, TỈNH NGHỆ AN (ĐỊA CHỈ CŨ: 174 NGUYỄN DU, PHƯỜNG BẾN THỦY, THÀNH PHỐ VINH, NGHỆ AN)",18.6568017,105.6973205,2025-12-04
VNVC,VNVC MỸ XUÂN,"96-98, TỔ 1, KHU PHỐ PHÚ HÀ, P.PHÚ MỸ, TP.HCM",10.6494167,107.0409167,2025-12-04
VNVC,VNVC TÂN BIÊN,"44/3 QUỐC LỘ 1A, KHU PHỐ 20, P.LONG BÌNH, ĐỒNG NAI",10.9696737,106.8964769,2025-11-25
VNVC,VNVC NGHĨA HƯNG,"325 PHẠM VĂN ĐỒNG, TT. LIỄU ĐỀ, NGHĨA HƯNG, NINH BÌNH",20.21807368872908,106.18175478164643,2025-11-15
VNVC,VNVC BÙ ĐĂNG,"QUỐC LỘ 14, KHU ĐỨC LẬP, X.BÙ ĐĂNG, ĐỒNG NAI",11.8091816,107.2316379,2025-10-28
VNVC,VNVC PHƯỚC LONG,"NGUYỄN TẤT THÀNH, P.PHƯỚC BÌNH, ĐỒNG NAI",11.8201329,106.9595716,2025-10-27
VNVC,VNVC VẠN PHÚC,"B-TT04-09, B-TT04-11, B-TT04-11A KHU NHÀ Ở NGÂN HÀ VẠN PHÚC, P.HÀ ĐÔNG, HÀ NỘI",20.9852814,105.7762027,2025-10-22
VNVC,VNVC THE WEST CẦU GIẤY,"TRUNG TÂM THƯƠNG MẠI - DỊCH VỤ, TÒA NHÀ THE WEST, TẦNG 2, P. CẦU GIẤY, HÀ NỘI",21.0345122,105.7945815,2025-10-21
VNVC,VNVC ĐIỆN BIÊN PHỦ,"111 ĐIỆN BIÊN PHỦ, P.GIA ĐỊNH, TP.HCM",10.796608,106.702788,2025-10-17
VNVC,VNVC CẦN ĐƯỚC,"48 QUỐC LỘ 50, X.CẦN ĐƯỚC, TỈNH TÂY NINH",10.510177789622874,106.60093227503808,2025-10-06
VNVC,VNVC TÂN ĐÔNG HIỆP,"169 NGUYỄN THỊ MINH KHAI, P.DĨ AN, TP.HCM",10.9174351,106.7519316,2025-10-01
VNVC,VNVC LÊ TRỌNG TẤN,"C31-BTSL2 Ô SỐ 09 , C31 -BTSL2 Ô SỐ 10, KHU ĐÔ THỊ MỚI HAI BÊN ĐƯỜNG LÊ TRỌNG TẤN, P.DƯƠNG NỘI, HÀ NỘI",20.9826788,105.742345,2025-09-26
VNVC,VNVC THỦY NGUYÊN,"22 PHỐ MỚI, P.THỦY NGUYÊN, TP.HẢI PHÒNG",20.9129426,106.674207,2025-09-21
VNVC,VNVC XA LA,"LK04, LK05, LK06 KHU NHÀ Ở THẤP TẦNG THUỘC DỰ ÁN TRỤ SỞ LÀM VIỆC (CƠ SỞ 2) VÀ CĂN HỘ CHUNG CƯ KẾT HỢP DỊCH VỤ THƯƠNG MẠI TẠI KHU XA LA, P.HÀ ĐÔNG, HÀ NỘI",20.9604371,105.7927203,2025-09-16
VNVC,VNVC CHÂU THÀNH,"52 QUỐC LỘ 61, ẤP HÒA THUẬN, X.BÌNH AN, AN GIANG (ĐỊA CHỈ CŨ: 52 QUỐC LỘ 61, ẤP HÒA THUẬN, X.VĨNH HÒA HIỆP, H.CHÂU THÀNH, KIÊN GIANG)",9.9234639,105.1430684,2025-09-08
VNVC,VNVC ĐAK ĐOA,"326 NGUYỄN HUỆ, XÃ ĐAK ĐOA, TỈNH GIA LAI (ĐỊA CHỈ CŨ: 326 NGUYỄN HUỆ, THỊ TRẤN ĐAK ĐOA, HUYỆN ĐAK ĐOA, TỈNH GIA LAI)",13.9961111,108.1183611,2025-08-25
VNVC,VNVC TÂN KIÊN,"D16/9-D16/9B NGUYỄN CỬU PHÚ, X.TÂN NHỰT, TP.HCM",10.7034949,106.5803963,2025-08-21
VNVC,VNVC XUÂN THỚI THƯỢNG,"39N PHAN VĂN HỚN, ẤP 2, X.BÀ ĐIỂM, TP.HCM",10.851662,106.5851162,2025-08-08
VNVC,VNVC CHÂU ĐỨC,"106A-106B ĐƯỜNG 30/4, TT.NGÃI GIAO, H.CHÂU ĐỨC, BÀ RỊA-VŨNG TÀU",10.65016,107.248615,2025-07-23
VNVC,VNVC XUYÊN MỘC,"TỈNH LỘ 328 XÃ PHƯỚC TÂN, HUYỆN XUYÊN MỘC, TỈNH BÀ RỊA - VŨNG TÀU",10.5411988,107.3956008,2025-07-19
VNVC,VNVC ỨNG HÒA,"61 THANH ẤM, X.VÂN ĐÌNH, HÀ NỘI",20.7282437,105.7716653,2025-07-12
VNVC,VNVC LÁI THIÊU,"9C LÁI THIÊU 45, KHU PHỐ ĐÔNG TƯ, P.LÁI THIÊU, TP.HCM",10.9111696,106.7042124,2025-07-06
VNVC,VNVC LONG ĐẤT,"QL.55, ẤP AN PHƯỚC, X.LONG ĐIỀN, TP.HCM",10.4779428,107.2221266,2025-07-02
VNVC,VNVC BA VÌ,"532 PHỐ NẢ, THÔN VĨNH PHỆ, X.QUẢNG OAI, HÀ NỘI",21.1921181,105.4322954,2025-06-27
VNVC,VNVC PHÚ TÀI,"192-194 LẠC LONG QUÂN, P.QUY NHƠN BẮC, GIA LAI",13.7926462,109.1475839,2025-06-26
VNVC,VNVC TỈNH LỘ 10,"598 TỈNH LỘ 10, KHU PHỐ 16, P.BÌNH TRỊ ĐÔNG, TP.HCM",10.757964,106.6153384,2025-06-20
VNVC,VNVC THỊ XÃ PHÚ THỌ,"243 KDC TÂN LẬP, P.PHÚ THỌ, PHÚ THỌ",21.4025082,105.2067758,2025-06-15
VNVC,VNVC NHÀ BÈ,"1158 LÊ VĂN LƯƠNG, ẤP 69, X.NHÀ BÈ, TP.HCM",10.7047652,106.7033574,2025-05-28
VNVC,VNVC NINH HOÀ,"THỬA ĐẤT SỐ 137, TỜ BẢN ĐỒ SỐ 28, QUỐC LỘ 1A, TỔ DÂN PHỐ PHƯỚC ĐA 3, PHƯỜNG NINH ĐA, THỊ XÃ NINH HÒA, TỈNH KHÁNH HÒA (NGÃ BA NGOÀI QL1A)",12.5017081,109.1383671,2025-05-18
VNVC,VNVC THUẬN GIAO,"1A1/789 ĐƯỜNG 22/12, TỔ 1, KHU PHỐ HÒA LÂN 2, P.THUẬN GIAO, TP.HCM",10.948328,106.7254588,2025-05-14
VNVC,VNVC GIAO THỦY,"371 TRẦN HƯNG ĐẠO, TỔ DÂN PHỐ ĐỒNG THỊNH, X.GIAO THỦY, NINH BÌNH (CÁCH BẾN XE HUYỆN GIAO THỦY 140M VỀ HƯỚNG DỐC NGÔ ĐỒNG)",20.290041,106.4366723,2025-05-09
VNVC,VNVC GÒ ĐEN,"TỜ BẢN ĐỒ SỐ 31, QL.1A, XÃ MỸ YÊN, TÂY NINH-",10.6393718,106.5330795,2025-05-02
VNVC,VNVC SÓC SƠN,"KHU ĐẤU GIÁ ĐẤT, TỔ 1, X.SÓC SƠN, HÀ NỘI",21.2573317,105.8574817,2025-04-01
VNVC,VNVC ĐÔNG THẠNH,"634 ĐẶNG THÚC VỊNH, X.ĐÔNG THẠNH, TP.HCM",10.8956319,106.6225801,2025-03-27
VNVC,VNVC VĨNH LONG 2,"SỐ 25A, ĐINH TIÊN HOÀNG, KHÓM 2, P.TÂN HẠNH, VĨNH LONG",10.2360219,105.9568822,2025-03-11
VNVC,VNVC HÓC MÔN,"338 TÔ KÝ, X.ĐÔNG THẠNH, TP.HCM",10.8809346,106.6088339,2025-02-20
VNVC,VNVC GIA NGHĨA,"SỐ 39 HÙNG VƯƠNG, P.BẮC GIA NGHĨA, LÂM ĐỒNG",11.994944161895779,107.705245144941,2025-02-10
VNVC,VNVC PHÚ TÂN,"THỬA ĐẤT SỐ 826, TỜ BẢN ĐỒ SỐ 34, NGUYỄN THỊ ĐỊNH, P.PHÚ TÂN, VĨNH LONG, (CÁCH TÒA NHÀ 6 SỞ 300M, HƯỚNG VỀ NGÃ TƯ TÚ ĐIỀN)",10.2576881,106.3812231,2025-01-24
VNVC,VNVC TÂN THUẬN,"385 HUỲNH TẤN PHÁT, KHU PHỐ 7, P.TÂN THUẬN, TP.HCM",10.7486518,106.7289061,2025-01-18
VNVC,VNVC BÌNH THỦY,"L8-12, L8-13, L8-14, L8-15, L8-16 LẠC LONG QUÂN, KV 5, P.BÌNH THỦY, TP.CẦN THƠ",10.0772871,105.7422903,2025-01-10
VNVC,VNVC SƠN TRÀ,"909 NGÔ QUYỀN, P.AN HẢI, TP.ĐÀ NẴNG",16.0648409,108.2335812,2024-12-30
