MARKER_ID,SHOP_NAME,SHOP_ADDRESS,LATITUDE,LONGITUDE,LIST_ATT
FLC,"80034-LC HCM 1 Dương Đình Hội, P. Phước Long","1 Dương Đình Hội, P. Phước Long B, TP. Thủ Đức, TP. Hồ Chí Minh",10.816882,106.774338,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80035-LC TNH 173 Hùng Vương, P. Long An","173 Hùng Vương, P. 1, TP. Tân An, Tỉnh Long An",10.536465,106.406333,Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80036-LC DNI 126C Phan Đình Phùng, P. Trấn Biên","126C Phan Đình Phùng - 02 Hưng Đạo Vương, P. Thanh Bình, TP. Biên Hoà, Tỉnh Đồng Nai",10.950637,106.817986,Chợ; Ðối thủ; Trường học; UBND Phường/Xã
FLC,"80037-LC DTP 134 Lý Thường Kiệt, P. Đạo Thạnh","134 Lý Thường Kiệt, P.4, TP. Mỹ Tho, Tỉnh Tiền Giang",10.357079,106.357369,Chợ; Ðối thủ; Trường học
FLC,"80040-LC HCM 113 Lê Văn Lương, X. Nhà Bè","113 Lê Văn Lương, X. Phước Kiển, H. Nhà Bè, TP. Hồ Chí Minh",10.713024,106.701338,Chợ; Trường học
FLC,"80041-LC HCM 91 Thành Thái, P. Diên Hồng","91 Thành Thái, P. 14, Q. 10, TP. Hồ Chí Minh",10.773626,106.664681,Bệnh viện; Ðối thủ; Trường học
FLC,"80042-LC DTP 91 Ấp Bắc, P. Đạo Thạnh","91 Ấp Bắc, P. 4, TP. Mỹ Tho, Tỉnh Tiền Giang",10.364009,106.358321,Chợ; Ðối thủ; Trường học
FLC,"80043-LC HCM 338 Phú Thọ Hòa, P. Phú Thọ Hòa","338 Phú Thọ Hòa, P. Phú Thọ Hòa, Q. Tân Phú, TP. Hồ Chí Minh",10.784814,106.626281,Chợ; Ðối thủ; Trường học; UBND Phường/Xã
FLC,"80044-LC CMU 71-73 Trần Hưng Đạo, P. Tân Thành","71-73 Trần Hưng Đạo, P. 5, TP. Cà Mau, Tỉnh Cà Mau",9.180938,105.157835,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80045-LC HCM 580 Nguyễn Duy Trinh, P. Bình Trưng","580-582 Nguyễn Duy Trinh, P. Bình Trưng Đông, TP. Thủ Đức, TP. Hồ Chí Minh",10.788001,106.776501,Chợ; Trường học
